2014-12-04T22:39:02.022927277Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T22:39:02.026181135Z 102400,83623936,67108864,32768,0,0,5566,1477,7517,0,16384,83656704,40960,0,0,18446744073709551615,18446744073709551615,102400,83623936,67108864,32768,0,0,5566,1477,7517,0,16384,83656704,40960,0,0
[2014-12-04T22:39:03.030007475Z] 102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0,18446744073709551615,18446744073709551615,102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0
[2014-12-04T22:39:04.036048738Z] 102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0,18446744073709551615,18446744073709551615,102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0
[2014-12-04T22:39:05.042694772Z] 102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0,18446744073709551615,18446744073709551615,102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0
[2014-12-04T22:39:06.047360958Z] 102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0,18446744073709551615,18446744073709551615,102400,118394880,98566144,32768,0,0,6953,2040,8962,0,12288,118444032,40960,0,0
[2014-12-04T22:39:07.054007540Z] 102400,117723136,98566144,32768,0,0,6953,2204,8962,0,12288,117772288,40960,0,0,18446744073709551615,18446744073709551615,102400,117723136,98566144,32768,0,0,6953,2204,8962,0,12288,117772288,40960,0,0
[2014-12-04T22:39:08.060332404Z] 102400,129048576,109051904,32768,0,0,7163,2204,9174,0,12288,129097728,40960,0,0,18446744073709551615,18446744073709551615,102400,129048576,109051904,32768,0,0,7163,2204,9174,0,12288,129097728,40960,0,0
[2014-12-04T22:39:09.066513245Z] 102400,129060864,109051904,32768,0,0,7166,2204,9179,0,12288,129110016,40960,0,0,18446744073709551615,18446744073709551615,102400,129060864,109051904,32768,0,0,7166,2204,9179,0,12288,129110016,40960,0,0
[2014-12-04T22:39:10.071945613Z] 102400,129060864,109051904,32768,0,0,7166,2204,9179,0,12288,129110016,40960,0,0,18446744073709551615,18446744073709551615,102400,129060864,109051904,32768,0,0,7166,2204,9179,0,12288,129110016,40960,0,0
[2014-12-04T22:39:11.082554973Z] 102400,131158016,111149056,32768,0,0,7167,2204,9180,0,12288,131207168,40960,0,0,18446744073709551615,18446744073709551615,102400,131158016,111149056,32768,0,0,7167,2204,9180,0,12288,131207168,40960,0,0
[2014-12-04T22:39:12.087013929Z] 102400,131158016,111149056,32768,0,0,7167,2204,9180,0,12288,131207168,40960,0,0,18446744073709551615,18446744073709551615,102400,131158016,111149056,32768,0,0,7167,2204,9180,0,12288,131207168,40960,0,0
[2014-12-04T22:39:13.092842986Z] 102400,131158016,111149056,32768,0,0,7167,2204,9183,0,12288,131207168,40960,0,0,18446744073709551615,18446744073709551615,102400,131158016,111149056,32768,0,0,7167,2204,9183,0,12288,131207168,40960,0,0
[2014-12-04T22:39:14.101389891Z] 102400,131158016,111149056,32768,0,0,7167,2204,9183,0,12288,131207168,40960,0,0,18446744073709551615,18446744073709551615,102400,131158016,111149056,32768,0,0,7167,2204,9183,0,12288,131207168,40960,0,0
[2014-12-04T22:39:15.110024022Z] 888832,216006656,138412032,327680,4096,0,24064,4837,32602,0,303104,216088576,290816,212992,0,18446744073709551615,18446744073709551615,888832,216006656,138412032,327680,4096,0,24064,4837,32602,0,303104,216088576,290816,212992,0
[2014-12-04T22:39:16.127355775Z] 3178496,277106688,134217728,2326528,0,0,46235,11021,62411,0,2306048,277192704,446464,327680,0,18446744073709551615,18446744073709551615,3178496,277106688,134217728,2326528,0,0,46235,11021,62411,0,2306048,277192704,446464,327680,0
[2014-12-04T22:39:17.143673071Z] 4599808,399904768,146800640,2789376,4096,0,79503,18047,108825,0,2539520,399974400,1052672,897024,0,18446744073709551615,18446744073709551615,4599808,399937536,146800640,2789376,4096,0,79510,18047,108832,0,2539520,399974400,1052672,897024,0
[2014-12-04T22:39:18.150314435Z] 9117696,495026176,153092096,4943872,0,0,122684,39460,161618,0,5197824,495099904,2318336,1474560,0,18446744073709551615,18446744073709551615,9117696,495022080,153092096,4943872,0,0,122684,39461,161618,0,5197824,495095808,2318336,1474560,0
[2014-12-04T22:39:19.167873575Z] 32178176,590368768,171966464,27004928,0,0,161229,54208,204564,0,26017792,590499840,4083712,1884160,0,18446744073709551615,18446744073709551615,32178176,590368768,171966464,27004928,0,0,161229,54208,204564,0,26017792,590499840,4083712,1884160,0
[2014-12-04T22:39:20.210690425Z] 7122944,505667584,167772160,2826240,0,0,185804,106601,229892,0,2084864,505765888,3289088,1617920,0,18446744073709551615,18446744073709551615,7122944,505667584,167772160,2826240,0,0,185804,106601,229892,0,2084864,505765888,3289088,1617920,0
[2014-12-04T22:39:21.243331629Z] 31821824,531324928,167772160,25673728,0,0,207325,115828,253149,0,25030656,531460096,5021696,1634304,0,18446744073709551615,18446744073709551615,31821824,531324928,167772160,25673728,0,0,207325,115828,253149,0,25030656,531460096,5021696,1634304,0
[2014-12-04T22:39:22.238651516Z] 45518848,562442240,161480704,37523456,4096,0,231123,127152,280718,0,37011456,562577408,6569984,1802240,0,18446744073709551615,18446744073709551615,45518848,562442240,161480704,37523456,4096,0,231123,127152,280718,0,37011456,562577408,6569984,1802240,0
[2014-12-04T22:39:23.251656527Z] 52551680,562155520,159383552,45744128,0,0,258406,152788,310668,0,45232128,562270208,5632000,1548288,0,18446744073709551615,18446744073709551615,52551680,562155520,159383552,45744128,0,0,258406,152788,310668,0,45232128,562270208,5632000,1548288,0
[2014-12-04T22:39:24.532109589Z] 48721920,468623360,165675008,43540480,0,0,288908,212170,342071,0,42790912,468713472,4493312,1302528,0,18446744073709551615,18446744073709551615,48721920,468623360,165675008,43540480,0,0,288908,212170,342071,0,42790912,468713472,4493312,1302528,0
[2014-12-04T22:39:25.305140009Z] 3805184,282886144,138412032,1150976,0,0,318380,291822,376433,0,1507328,283017216,1499136,667648,0,18446744073709551615,18446744073709551615,3805184,282886144,138412032,1150976,0,0,318380,291822,376433,0,1507328,283017216,1499136,667648,0
[2014-12-04T22:39:26.314801066Z] 18513920,349036544,140509184,15552512,0,0,345756,300990,409054,0,15233024,349130752,2322432,819200,0,18446744073709551615,18446744073709551615,18513920,349036544,140509184,15552512,0,0,345756,300990,409054,0,15233024,349130752,2322432,819200,0
[2014-12-04T22:39:27.387533576Z] 2277376,281698304,140509184,856064,0,0,366085,343767,433770,0,602112,281833472,811008,729088,0,18446744073709551615,18446744073709551615,2277376,281702400,140509184,856064,0,0,366086,343767,433770,0,602112,281833472,811008,729088,0
[2014-12-04T22:39:28.386998126Z] 3219456,336658432,138412032,1236992,0,0,383853,348398,456844,0,999424,336793600,1232896,827392,0,18446744073709551615,18446744073709551615,3219456,336658432,138412032,1236992,0,0,383853,348398,456844,0,999424,336793600,1232896,827392,0
[2014-12-04T22:39:29.409313366Z] 5533696,386129920,140509184,2064384,4096,0,401858,354271,479626,0,2293760,386269184,2035712,1064960,0,18446744073709551615,18446744073709551615,5533696,386129920,140509184,2064384,4096,0,401858,354271,479626,0,2293760,386269184,2035712,1064960,0
[2014-12-04T22:39:30.825693591Z] 6459392,439590912,150994944,2859008,0,0,418466,360667,501277,0,2371584,439656448,2740224,1208320,0,18446744073709551615,18446744073709551615,6459392,439590912,150994944,2859008,0,0,418466,360667,501277,0,2371584,439656448,2740224,1208320,0
[2014-12-04T22:39:31.435680758Z] 18837504,474783744,144703488,13381632,0,0,442093,372169,529438,0,13512704,474898432,3772416,1409024,0,18446744073709551615,18446744073709551615,18837504,474783744,144703488,13381632,0,0,442093,372169,529438,0,13512704,474898432,3772416,1409024,0
[2014-12-04T22:39:32.505476152Z] 28577792,548741120,159383552,22536192,0,0,470672,384402,560828,0,21741568,548864000,4837376,1843200,0,18446744073709551615,18446744073709551615,28577792,548741120,159383552,22536192,0,0,470672,384402,560828,0,21741568,548864000,4837376,1843200,0
[2014-12-04T22:39:33.735826571Z] 48078848,520781824,171966464,30511104,4096,0,496595,416478,590310,0,35315712,529674240,3805184,1605632,0,18446744073709551615,18446744073709551615,48078848,520790016,171966464,30511104,4096,0,496597,416478,590312,0,35315712,529674240,3805184,1605632,0
[2014-12-04T22:39:34.592981018Z] 18833408,411795456,150994944,14770176,0,0,518643,468697,614335,0,14123008,411951104,3153920,1396736,0,18446744073709551615,18446744073709551615,18833408,411795456,150994944,14770176,0,0,518643,468697,614335,0,14123008,411951104,3153920,1396736,0
[2014-12-04T22:39:35.899804746Z] 26550272,391462912,148897792,14331904,0,0,545444,498578,646612,0,21311488,391700480,3272704,1679360,0,18446744073709551615,18446744073709551615,26550272,391462912,148897792,14331904,0,0,545444,498578,646616,0,21311488,391700480,3272704,1679360,0
[2014-12-04T22:39:36.629589732Z] 17715200,411758592,144703488,14082048,0,0,567746,517060,672778,0,13697024,411832320,2580480,1269760,0,18446744073709551615,18446744073709551615,17715200,411758592,144703488,14082048,0,0,567746,517060,672778,0,13697024,411832320,2580480,1269760,0
