2014-12-04T22:01:49.312150895Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T22:01:49.326324881Z 126976,78495744,62914560,32768,0,0,5201,1336,7155,0,20480,76406784,40960,12288,0,18446744073709551615,18446744073709551615,126976,78495744,62914560,32768,0,0,5201,1336,7155,0,20480,76406784,40960,12288,0
[2014-12-04T22:01:50.328675274Z] 126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0,18446744073709551615,18446744073709551615,126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0
[2014-12-04T22:01:51.332615405Z] 126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0,18446744073709551615,18446744073709551615,126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0
[2014-12-04T22:01:52.337577950Z] 126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0,18446744073709551615,18446744073709551615,126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0
[2014-12-04T22:01:53.342072890Z] 126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0,18446744073709551615,18446744073709551615,126976,115785728,94371840,32768,0,0,7151,1847,9164,0,16384,115843072,40960,12288,0
[2014-12-04T22:01:54.346096972Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:01:55.350929868Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:01:56.355125267Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:01:57.360014507Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:01:58.364504337Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:01:59.368345756Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:00.372820359Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:01.380448222Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:02.385006386Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:03.396299602Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:04.559316213Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:05.411960131Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:06.415761285Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:07.419034972Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:08.427155018Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:09.434479331Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:10.439109309Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:11.459906600Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:12.461034316Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:13.467258121Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:14.479833279Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:15.488981563Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:16.497715443Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:17.504783587Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:18.508852861Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:19.512116205Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:20.945938747Z] 126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9164,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:21.777976336Z] 126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:22.525577845Z] 126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:23.532105662Z] 126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:24.538117808Z] 126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:25.541885724Z] 126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0
[2014-12-04T22:02:26.955417592Z] 126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0,18446744073709551615,18446744073709551615,126976,115343360,94371840,32768,0,0,7151,1955,9166,0,16384,115400704,40960,12288,0
