2014-12-04T21:57:06.554816814Z cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
2014-12-04T21:57:06.554851409Z 102400,83726336,65011712,32768,0,0,6003,1378,7946,0,16384,83734528,40960,0,0,18446744073709551615,18446744073709551615,102400,83726336,65011712,32768,0,0,6003,1378,7946,0,16384,83734528,40960,0,0
[2014-12-04T21:57:07.555179986Z] 102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0,18446744073709551615,18446744073709551615,102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0
[2014-12-04T21:57:08.558773705Z] 102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0,18446744073709551615,18446744073709551615,102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0
[2014-12-04T21:57:09.569576986Z] 102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0,18446744073709551615,18446744073709551615,102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0
[2014-12-04T21:57:10.576011208Z] 102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0,18446744073709551615,18446744073709551615,102400,118546432,96468992,32768,0,0,7352,1891,9353,0,12288,118595584,40960,0,0
[2014-12-04T21:57:11.580065597Z] 102400,118296576,96468992,32768,0,0,7352,1952,9353,0,12288,118345728,40960,0,0,18446744073709551615,18446744073709551615,102400,118296576,96468992,32768,0,0,7352,1952,9353,0,12288,118345728,40960,0,0
[2014-12-04T21:57:12.585016547Z] 102400,129622016,106954752,32768,0,0,7562,1952,9564,0,12288,129671168,40960,0,0,18446744073709551615,18446744073709551615,102400,129622016,106954752,32768,0,0,7562,1952,9564,0,12288,129671168,40960,0,0
[2014-12-04T21:57:13.588349591Z] 102400,129634304,106954752,32768,0,0,7565,1952,9568,0,12288,129683456,40960,0,0,18446744073709551615,18446744073709551615,102400,129634304,106954752,32768,0,0,7565,1952,9568,0,12288,129683456,40960,0,0
[2014-12-04T21:57:14.591613593Z] 102400,129634304,106954752,32768,0,0,7565,1952,9568,0,12288,129683456,40960,0,0,18446744073709551615,18446744073709551615,102400,129634304,106954752,32768,0,0,7565,1952,9568,0,12288,129683456,40960,0,0
[2014-12-04T21:57:15.596319614Z] 102400,131731456,109051904,32768,0,0,7566,1952,9569,0,12288,131780608,40960,0,0,18446744073709551615,18446744073709551615,102400,131731456,109051904,32768,0,0,7566,1952,9569,0,12288,131780608,40960,0,0
