time,cache,rss,rss_huge,mapped_file,writeback,swap,pgpgin,pgpgout,pgfault,pgmajfault,inactive_anon,active_anon,inactive_file,active_file,unevictable,hierarchical_memory_limit,hierarchical_memsw_limit,total_cache,total_rss,total_rss_huge,total_mapped_file,total_writeback,total_swap,total_pgpgin,total_pgpgout,total_pgfault,total_pgmajfault,total_inactive_anon,total_active_anon,total_inactive_file,total_active_file,total_unevictable
time,110592,83861504,67108864,32768,0,0,5590,1441,7554,0,20480,83886080,40960,0,0,18446744073709551615,18446744073709551615,110592,83861504,67108864,32768,0,0,5590,1441,7554,0,20480,83886080,40960,0,0
2014-12-04T21:46:54.960587050Z,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0,18446744073709551615,18446744073709551615,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0
2014-12-04T21:46:55.966871283Z,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0,18446744073709551615,18446744073709551615,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0
2014-12-04T21:46:56.972221202Z,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0,18446744073709551615,18446744073709551615,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0
2014-12-04T21:46:57.978928747Z,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0,18446744073709551615,18446744073709551615,110592,118677504,98566144,32768,0,0,6790,1806,8812,0,16384,118730752,40960,0,0
2014-12-04T21:46:58.986181743Z,110592,117895168,98566144,32768,0,0,6790,1997,8812,0,16384,117948416,40960,0,0,18446744073709551615,18446744073709551615,110592,117895168,98566144,32768,0,0,6790,1997,8812,0,16384,117948416,40960,0,0
2014-12-04T21:46:59.992040422Z,110592,129228800,109051904,32768,0,0,7002,1997,9025,0,16384,127131648,40960,0,0,18446744073709551615,18446744073709551615,110592,129228800,109051904,32768,0,0,7002,1997,9025,0,16384,127131648,40960,0,0
2014-12-04T21:47:00.999744638Z,110592,129241088,109051904,32768,0,0,7005,1997,9029,0,16384,129294336,40960,0,0,18446744073709551615,18446744073709551615,110592,129241088,109051904,32768,0,0,7005,1997,9029,0,16384,129294336,40960,0,0
2014-12-04T21:47:02.005923912Z,110592,129241088,109051904,32768,0,0,7005,1997,9029,0,16384,129294336,40960,0,0,18446744073709551615,18446744073709551615,110592,129241088,109051904,32768,0,0,7005,1997,9029,0,16384,129294336,40960,0,0
2014-12-04T21:47:03.015454569Z,110592,131338240,111149056,32768,0,0,7006,1997,9030,0,16384,131391488,40960,0,0,18446744073709551615,18446744073709551615,110592,131338240,111149056,32768,0,0,7006,1997,9030,0,16384,131391488,40960,0,0
2014-12-04T21:47:04.020538096Z,110592,131338240,111149056,32768,0,0,7006,1997,9030,0,16384,131391488,40960,0,0,18446744073709551615,18446744073709551615,110592,131338240,111149056,32768,0,0,7006,1997,9030,0,16384,131391488,40960,0,0
2014-12-04T21:47:05.025555503Z,110592,131338240,111149056,32768,0,0,7006,1997,9033,0,16384,131391488,40960,0,0,18446744073709551615,18446744073709551615,110592,131338240,111149056,32768,0,0,7006,1997,9033,0,16384,131391488,40960,0,0
2014-12-04T21:47:06.032832055Z,110592,131338240,111149056,32768,0,0,7006,1997,9033,0,16384,131391488,40960,0,0,18446744073709551615,18446744073709551615,110592,131338240,111149056,32768,0,0,7006,1997,9033,0,16384,131391488,40960,0,0
2014-12-04T21:47:07.042652619Z,110592,131338240,111149056,32768,0,0,7006,1997,9033,0,16384,131391488,40960,0,0,18446744073709551615,18446744073709551615,110592,131338240,111149056,32768,0,0,7006,1997,9033,0,16384,131391488,40960,0,0
2014-12-04T21:47:08.309976230Z,15859712,188010496,140509184,294912,0,0,23857,8321,22628,0,77824,188108800,13074432,2609152,0,18446744073709551615,18446744073709551615,15859712,188010496,140509184,294912,0,0,23857,8321,22628,0,77824,188108800,13074432,2609152,0
2014-12-04T21:47:09.053404463Z,17727488,209285120,148897792,331776,0,0,40375,24299,42864,0,69632,209403904,13770752,3764224,0,18446744073709551615,18446744073709551615,17727488,209285120,148897792,331776,0,0,40375,24299,42864,0,69632,209403904,13770752,3764224,0
2014-12-04T21:47:10.058188944Z,18620416,274370560,157286400,397312,0,0,54765,25136,58378,0,73728,274444288,12025856,6397952,0,18446744073709551615,18446744073709551615,18620416,274370560,157286400,397312,0,0,54765,25136,58378,0,73728,274444288,12025856,6397952,0
2014-12-04T21:47:11.062625101Z,32514048,350507008,163577856,729088,0,0,92609,46621,96781,0,139264,350572544,21250048,11001856,0,18446744073709551615,18446744073709551615,32514048,350507008,163577856,729088,0,0,92609,46621,96781,0,139264,350572544,21250048,11001856,0
2014-12-04T21:47:12.067107080Z,34304000,455974912,197132288,761856,0,0,118366,54367,122863,0,143360,456085504,19996672,14041088,0,18446744073709551615,18446744073709551615,34304000,455983104,197132288,761856,0,0,118368,54367,122865,0,143360,456085504,19996672,14041088,0
